"Module","Surface","Feature","What it does","User can do","Primary data / dependencies","Access","Status / caveat"
"QuickBooks","UI/API","Sync field checklist","Shows pass/fail checks for the latest pull so imported fields can be validated.","Review whether required sync fields and coverage are present.","Latest pull summary and checklist builder.","Finance roles.","Implemented."
"QuickBooks","UI","Object coverage table","Shows fetched versus imported counts by QBO object type.","Audit which QBO object types made it into ERP data.","Latest pull summary transactionObjects data.","Finance roles.","Implemented."
"QuickBooks","UI","Sync logs","Shows push/pull diagnostics for invoice syncs and full pulls.","Review sync history, failures, and errors.","QBO sync log register.","Finance roles.","Implemented."
"QuickBooks","UI/API","Transaction lineage snapshot","Summarizes transaction provenance by object type, inflow/outflow, and linked-row coverage.","Understand where imported ledger data is coming from.","QBO transaction lineage feed.","Finance roles.","Implemented."
"QuickBooks","API","QBO transaction feed","Returns transaction-level rows with object type, object ID, line ID, reference, and QBO account ID.","Use imported QBO rows for audit and reporting drill-down.","QBO full pull transaction storage.","Finance roles.","Implemented."
"QuickBooks","UI/API","Manual invoice push to QBO","Pushes ERP invoices to QuickBooks from the billing workflow.","Sync an ERP invoice into QBO.","Invoice payload, QBO connection, sync service.","Approver roles.","Implemented; depends on QBO connection."
"QuickBooks","API","Webhook endpoint","Accepts QBO webhook calls for future sync/event use.","Receive source-system events from QBO.","Public webhook route and webhook payload handling.","System integration.","Implemented as endpoint."
"Admin","UI","Source systems control","Central admin screen for integration governance.","Connect QBO, run full pull, and jump into the QuickBooks workspace.","QBO status and full-pull actions.","Admin/Accountant.","Implemented."
"Admin","UI","Source account master","Maintains governed bank, card, wallet, and ledger accounts that feed Banking Hub and reporting.","Create or edit governed source accounts, set entity, currency, role, visibility, and cash flags.","Source account store.","Admin/Accountant.","Implemented."
"Admin","UI","Global chart of accounts","Defines the consolidated group chart used by reporting.","Create and edit global chart accounts with code, type, and reporting group.","Global account store.","Admin/Accountant.","Implemented."
"Admin","UI","Account mapping matrix","Maps source accounts into the global chart with optional overrides.","Create and maintain source-to-global mappings.","Source accounts, global chart accounts, mapping rules.","Admin/Accountant.","Implemented."
"Admin","UI","Finance model and FX settings","Stores reporting currency, entity base currencies, and FX rates.","Set reporting currency and maintain base-currency/FX assumptions.","Finance model settings.","Admin/Accountant.","Implemented; FX settings are present but not fully applied across all statutory reporting."
"Admin","UI","Management adjustment register","Lists management reclasses sitting above source books.","Review management adjustments by entity, from/to category, partner, amount, and status.","Management adjustment store.","Admin/Accountant.","Implemented."
"Admin","UI","Audit log","Records finance actions taken in the system.","Review who did what and when.","Audit event store.","Admin/Accountant.","Implemented."
"Admin","UI","Notification queue","Tracks workflow emails and outbound notices.","Review queued notices and process notifications.","Notification store and processing route.","Admin/Accountant.","Implemented."
"Admin","UI","Workflow health","Shows architecture-style workflow diagnostics under admin.","Review health of source, classification, reconciliation, and control workflows.","Architecture/workflow health builder.","Admin/Accountant.","Implemented."
"Banking Hub","UI","Governed cash rails","Shows admin-governed rails such as Meezan, Wise, BOFA, and Chase instead of hardcoded labels.","Select a bank/card rail and inspect its activity.","Source account master and transactions.","Finance roles.","Implemented."
"Banking Hub","UI","Statement intake","Imports CSV activity into the normalized ledger using governed account defaults.","Paste or upload CSV and book imported transactions.","CSV import route, source account defaults.","Finance managers.","Implemented."
"Banking Hub","API","Manual transaction import","Creates ledger rows from imported bank/card activity.","Load bank data into ERP.","Transactions import endpoint.","Finance managers.","Implemented."
"Banking Hub","UI","Rail activity register","Shows cash-side transaction rows for the selected rail.","Review imported/synced cash movements by rail.","Transactions dataset filtered by selected rail.","Finance roles.","Implemented."
"Banking Hub","UI","Reconciliation suggestion queue","Shows unmatched cash with suggested invoices.","Review where cash likely belongs against open receivables.","Reconciliation board and open invoice data.","Finance roles.","Implemented."
"Banking Hub","UI/API","Auto-match reconciliation","Runs a matching routine to align incoming cash with invoices.","Trigger automatic matching of receipts to invoices.","Reconciliation engine, transactions, invoices.","Finance managers.","Implemented."
"Banking Hub","API","Multi-invoice allocation","Allows one bank receipt to be allocated across multiple invoices.","Match one transaction to several invoices with amounts.","Transactions match endpoint and invoice allocation payload.","Finance managers.","Implemented."
"Banking Hub","UI","Governed import defaults","Uses admin-owned entity, currency, source, and rail defaults when statement files do not carry those fields.","Load statement rows with consistent ledger defaults.","Source account governance.","Finance managers.","Implemented."
"Treasury","UI","Governed cash position","Shows governed bank and card balances by entity, role, native balance, and reporting balance.","Review current treasury position.","Management treasury report and governed source accounts.","Finance roles.","Implemented."
"Treasury","UI/API","Intercompany funding entry","Creates entity-to-entity funding entries with reference, source rail, amount, and narrative.","Record intercompany funding movements.","Intercompany entry endpoint and source accounts.","Finance managers.","Implemented."
"Treasury","UI/API","Intercompany settlement","Settles open intercompany entries.","Mark intercompany balances as settled.","Intercompany ledger and settlement endpoint.","Finance managers.","Implemented."
"Treasury","UI","Intercompany register","Shows the open and settled intercompany ledger.","Review intercompany history and outstanding items.","Intercompany ledger store.","Finance roles.","Implemented."
"Treasury","UI","Exposure by entity pair","Summarizes intercompany balances by entity pair.","See which entity pairs have open or settled balances.","Intercompany by-pair analytics.","Finance roles.","Implemented."
"Treasury","API/Report","Treasury report","Provides inflows, outflows, entity movement, cash balances, and mapping coverage.","Use treasury analytics in the Reports and Treasury workspaces.","Management treasury endpoint.","Finance roles.","Implemented."
"Treasury","UI/Report","Governed cash balances report","Shows mapped governed rails with native and reporting balances.","Audit cash and card mapping into the global chart.","Management treasury cashBalances output.","Finance roles.","Implemented."
"Treasury","Control note","Intercompany reporting caveat","Intercompany workflow exists, but statement treatment still needs correction in the balance sheet.","Review intercompany operationally, but do not treat balance sheet output as final.","Balance sheet logic and intercompany summary.","Finance leadership.","Implemented with accounting caveat."
"Client Billing","UI","Invoice composer","Creates invoices with project, client, dates, currency, entity, LOS, BU, channel, pricing, and notes.","Build a new invoice draft.","Projects, clients, finance dimensions.","Admin/Accountant.","Implemented."
"Client Billing","UI","Draft preview panel","Shows subtotal, tax, total, and workflow/control reminders while composing an invoice.","See the draft total before creation.","Billing draft state.","Admin/Accountant.","Implemented."
"Client Billing","UI/API","Invoice lifecycle actions","Supports Create, Submit, Approve, Reject, Send, Record Payment, and QBO Sync.","Move invoices through the full revenue workflow.","Invoices, payments, QBO sync.","Admin/Accountant/Partner depending on action.","Implemented."
"Client Billing","UI","Pipeline rail","Summarizes invoice counts and amounts by stage: Draft, Approval, Sent, Overdue, Partial, Paid.","See billing workflow bottlenecks.","Invoice status analytics.","Finance roles.","Implemented."
"Client Billing","UI","Invoice register","Shows invoice list with tags, totals, collection status, and action buttons.","Review and operate on invoices from one register.","Invoices dataset.","Finance roles; actions are role-gated.","Implemented."
"Client Billing","UI","Invoice preview","Renders invoice detail for review before sending or syncing.","Open invoice preview.","Invoice preview endpoint.","Finance roles.","Implemented."
"Client Billing","UI","Collections queue","Shows open receivables with due dates, outstanding amount, and next-step guidance.","Follow up on receivables.","Invoice aging and outstanding balances.","Finance roles.","Implemented."
"Client Billing","UI","Billing reconciliation","Shows open invoices, unmatched receipts, and top suggestions from the reconciliation engine.","Review AR-to-cash matching from the billing side.","Reconciliation board.","Finance roles.","Implemented."
"Client Billing","UI","Client billing analytics","Shows billed, collected, outstanding, collection percentage, and overdue count by client.","Review client-level AR and collection health.","Invoice analytics by client.","Finance roles.","Implemented."
"Client Billing","UI","CSV exports","Exports invoice register and client AR outputs.","Download billing datasets for outside analysis.","Frontend CSV export helpers.","Finance roles.","Implemented."
"Projects","API","Projects master","Stores and serves projects used in billing and utilization.","Create and list projects.","Projects endpoints.","Settings/billing roles.","Implemented; no dedicated top-level workspace."
"Projects","API","Project summary","Returns project-level summary metrics.","Review project-level billing/time summary.","Project summary endpoint.","Billing roles.","Implemented; API-focused."
"Projects","API","Time entry capture","Stores time entries against projects.","Record billable/non-billable time.","Time entry endpoints.","Billing create roles.","Implemented; API-focused."
"Projects","API","Unbilled time view","Returns time that has not yet been billed.","See what time remains to bill.","Unbilled time endpoint.","Billing roles.","Implemented; API-focused."
"Dashboards","API","Finance dashboard KPIs","Returns finance KPI cards for the Control Tower.","Load summary cards and counts.","Dashboard KPI endpoint.","Finance roles.","Implemented."
"Dashboards","API","PM dashboard","Returns project-manager-oriented metrics.","Load PM KPI data.","PM dashboard endpoint.","PM/Admin/Accountant roles.","Implemented; API-focused."
"Payables","API","Vendor master","Stores vendors for AP workflows.","Create and list vendors.","Vendor endpoints.","Finance managers.","Implemented; UI currently uses existing vendors in bill composer, but vendor creation is API-first."
"Payables","UI","Vendor bill composer","Creates draft vendor bills with entity, currency, amount, category, BU, LOS, and notes.","Draft a new AP bill.","Vendors, finance dimensions.","Finance managers.","Implemented."
"Payables","UI/API","Bill approval queue","Supports Submit, Approve, Reject, and Record Payment on bills.","Move bills through AP workflow.","Vendor bill endpoints.","Finance managers and approvers.","Implemented."
"Payables","UI","AP register","Shows bills, paid amount, outstanding amount, and days past due.","Review open AP and status.","Vendor bill dataset.","Finance roles.","Implemented."
"Payables","UI","Vendor aging","Summarizes AP by bucket and by vendor concentration.","Review overdue AP and vendor exposure.","Payables aging analytics.","Finance roles.","Implemented."
"Payables","UI/API","Vendor payment posting","Records payments from governed source rails against bills.","Pay a bill and reduce open AP.","Bill payment endpoint and source accounts.","Finance managers.","Implemented."
"Classification","UI","Invoice tagging console","Maintains LOS, entity, channel, BU, and notes for invoices.","Tag invoices for management reporting.","Invoices and finance dimensions.","Finance managers.","Implemented."
"Classification","UI","Transaction review console","Maintains category, LOS, entity, BU, channel, partner tag, treasury flag, intercompany flag, capex flag, and reimbursement flag on transactions.","Correct how transactions hit reporting.","Transactions dataset and classification update endpoint.","Finance managers.","Implemented."
"Classification","UI","Auto-classify action","Applies heuristic classification to a selected transaction.","Ask the system to classify a row automatically.","Classification engine.","Finance managers.","Implemented."
"Classification","API","Classification rules","Stores reusable rules for transaction classification.","Create and list classification rules.","Classification rules endpoints.","Finance managers.","Implemented."
"Classification","UI","Review queues","Shows untagged invoices, unclassified transactions, partner-review candidates, and capex candidates.","Work through the data-quality backlog.","Invoice and transaction queues.","Finance roles.","Implemented."
"Classification","UI","Invoice register for integrity","Lets finance inspect invoice tagging coverage directly inside the classification workspace.","Review invoice tagging completeness.","Invoices dataset.","Finance roles.","Implemented."
"Operating Spend","UI","Expense entry","Records manual operating expenses with entity, amount, category, BU, LOS, employee, notes, and governed source account.","Book a spend item.","Expenses endpoint and finance model.","Finance managers.","Implemented."
"Operating Spend","UI","Governed source-account selection","Constrains expense posting to admin-governed rails filtered by entity/currency.","Select the right cash source for an expense.","Source account master.","Finance managers.","Implemented."
"Operating Spend","UI","Employee claims","Supports employee-paid expenses that need reimbursement.","Record a claim tied to an employee.","Expense entry with employee and reimbursement flags.","Finance managers.","Implemented."
"Operating Spend","UI","Reimbursement queue","Shows pending and settled reimbursement claims.","Review reimbursement backlog.","Reimbursement dataset.","Finance roles.","Implemented."
"Operating Spend","UI/API","Reimbursement settlement","Settles an employee claim and posts cash-out movement.","Mark a claim as reimbursed.","Reimbursement settlement endpoint.","Finance managers.","Implemented."
"Operating Spend","UI","Spend summary","Summarizes expense counts and amounts by category.","See where operating spend is going.","Expense category summary.","Finance roles.","Implemented."
"Operating Spend","UI","Expense ledger","Lists all expenses with entity, account, employee, reimbursement state, and amount.","Audit expense entries.","Expenses dataset.","Finance roles.","Implemented."
"Ventures","UI","Poncho settlement entry","Records product cash settlements with optional linked invoice and channel.","Book Poncho cash receipts.","Poncho settlement endpoint.","Finance managers.","Implemented."
"Ventures","UI","Poncho register","Shows all Poncho settlements with match status.","Review open versus matched product cash.","Poncho settlements dataset.","Finance roles.","Implemented."
"Ventures","UI","ASAR tower capex entry","Records tower capital spend with useful life and capitalization status.","Book a capital project cost.","ASAR tower cost endpoint.","Finance managers.","Implemented."
"Ventures","UI","Capex register and depreciation snapshot","Shows tower capex total, monthly depreciation estimate, and detailed capex schedule.","Review capex and depreciation assumptions.","ASAR tower costs dataset.","Finance roles.","Implemented."
"Related Party","API","Partner draws","Stores partner draw entries for related-party reporting.","Create and list partner draws.","Partner draw endpoints.","Finance managers.","Implemented; surfaced mainly through reporting rather than a dedicated workspace."
"Payroll","API","Payroll runs","Stores payroll run entries and exposes payroll list.","Create and review payroll runs.","Payroll run endpoints.","Settings/finance roles.","Implemented; API-focused."
"Transaction Monitor","UI","Transaction-level source traceability","Shows imported QBO rows with object type, object ID, line ID, account, global mapping, description, category, amount, LOS, channel, counterparty, and reference.","Audit exactly what is driving reporting.","QBO lineage feed.","Finance roles.","Implemented."
"Transaction Monitor","UI","Object-type filter","Filters the ledger by QBO object type.","Narrow the ledger to one object class.","Ledger filter state.","Finance roles.","Implemented."
"Transaction Monitor","UI","Global account visibility","Shows mapped global account code and name on transaction rows.","See how source data lands in the consolidated chart.","Account mappings and lineage data.","Finance roles.","Implemented."
"Reports","UI","Report filters","Applies date and entity filters across the report pack.","Scope report output by period and entity.","Report filter state.","Finance roles.","Implemented."
"Reports","UI","Statutory P&L","Shows revenue, operating expense, payroll, gross profit, cash collected, and net cash profit.","Review a compact profit-and-loss statement.","Statutory P&L endpoint.","Finance roles.","Implemented."
"Reports","UI","Statutory cash flow","Shows inflows, outflows, net movement, opening balance, and closing balance.","Review cash movement.","Statutory cash flow endpoint.","Finance roles.","Implemented."
"Reports","UI","Statutory balance sheet","Shows assets, liabilities, equity, cash, and accounts receivable.","Review balance sheet output.","Balance sheet endpoint.","Finance roles.","Implemented with accounting caveat: current multi-currency and intercompany treatment still needs correction."
"Reports","UI","AR aging","Shows current, 1-30, 31-60, and 61+ receivable buckets.","Review receivables risk.","AR aging endpoint.","Finance roles.","Implemented."
"Reports","UI","Project utilisation","Shows billable hours, budget hours, and utilization by project.","Review project delivery efficiency.","Utilisation endpoint.","Admin/Accountant/Partner.","Implemented."
"Reports","UI","Management P&L summary","Shows revenue, expense, payroll, treasury, and net in reporting currency.","Review consolidated management performance.","Management P&L endpoint.","Finance roles.","Implemented."
"Reports","UI","Management monthly trend","Shows monthly revenue, expense, payroll, treasury, and net.","Track management performance over time.","Management P&L byMonth output.","Finance roles.","Implemented."
"Reports","UI","Global chart mapping coverage","Shows how entries land in the global chart and what remains unmapped.","Audit mapping quality.","Management P&L mapping coverage and byGlobal data.","Finance roles.","Implemented."
"Reports","UI","Reporting group view","Aggregates management numbers by reporting group.","Review consolidation at reporting-group level.","Management P&L byReportingGroup.","Finance roles.","Implemented."
"Reports","UI","Client revenue and AR analytics","Shows invoice count, billed, collected, outstanding, collection percentage, and overdue by client.","Review client-level revenue and collections.","Invoice analytics.","Finance roles.","Implemented."
"Reports","UI","Revenue by line of service","Shows revenue by tagged LOS.","See performance by TRDEV, TRFINANCE, and TRBUILD.","QBO revenue-by-LOS endpoint and invoice tags.","Finance roles.","Implemented; depends on invoice tagging quality."
"Reports","UI","Entity plus LOS detail","Shows invoice count, revenue, collected, and open AR by entity and LOS.","Compare line performance across entities.","QBO revenue-by-LOS byEntityLineOfService.","Finance roles.","Implemented."
"Reports","UI","Treasury and Upwork summary","Shows treasury inflows/outflows plus Upwork receipts, fees, and unmatched amounts.","Review treasury/channel movement.","Management treasury and Upwork endpoints.","Finance roles.","Implemented."
"Reports","UI","Partner ledger","Shows total draw amount and partner totals with entry counts and entities.","Review related-party activity.","Management partner-ledger endpoint.","Finance roles.","Implemented."
"Reports","UI","Governed cash balances","Shows governed rail balances with mapped global account, native balance, reporting balance, and last pull.","Audit cash balances used in reporting.","Treasury cashBalances output.","Finance roles.","Implemented."
"Reports","UI","Report pack print","Triggers browser print flow for the report pack.","Print the board pack.","Frontend print action.","Finance roles.","Implemented."
"Reports","UI","CSV exports","Exports client AR and LOS views.","Download core reporting tables for offline work.","Frontend CSV export helpers.","Finance roles.","Implemented."
"Month-End Close","UI","Current close status cards","Shows current-period open AR, open AP, open intercompany, and locked-period count.","Review whether the month is ready to close.","Close-period checklist metrics.","Finance roles.","Implemented."
"Month-End Close","UI","Close checklist","Shows pass/block status for source pull, invoice tagging, cash matching, reimbursements, AP approval, and intercompany resolution.","Review blockers before closing a period.","Close checklist builder.","Finance roles.","Implemented."
"Month-End Close","UI/API","Close and reopen period","Lets finance close a month or reopen it later.","Lock or unlock a period.","Close/reopen endpoints.","Finance managers.","Implemented."
"Month-End Close","UI","Period register","Lists recent periods with status, closed timestamp, and open AR/AP/intercompany metrics.","Review close history.","Close period register.","Finance roles.","Implemented; UI currently displays live checklist metrics rather than frozen close snapshots."
"Month-End Close","Control","Posting locks","Blocks many manual postings into closed periods.","Prevent back-posting after month-end close.","Period-lock checks in posting routes.","Finance managers.","Implemented with caveat: QBO full pull currently bypasses closed-period protection."
